ejekcbufrgthgnckleghnnfihrdedrnnlecbnrutcrdh,Complete EXTUNBIASED input data sets (good runs),,,,,,,NuMI FHC/RHC boundary defs,Runs,,,crt-remerging,4a,4b,4c,4d,5,,
Run,Defintion,Files,Events,EXT,avg events per file ,,,numi_run4_fhc_runs,"4c,4d",,,BNB reco1,not used,not used,,,,,no need
5,prod_extunbiased_swizzle_crt_inclusive_v8_run5_numi_fhc_intrnue_overlay,4662,278311,,"[0.55, 0.66)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Run,NuMI nu overlay,,,,,,,,,,,,,,,,,,
4a validation,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4a_300k_validation_overlay,,,,none,,,,,,,,,,,,,,
4a,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4a_numi_rhc_nu_overlay,4582,203172,,"[0,0.35)",0.35,,,,,,,,,,,,,
4b,prod_extunbiased_swizzle_crt_inclusive_v7b_goodruns_mcc9_run4b_numi_rhc_nu_overlay,15485,648310,,"[0,0.35)",,,,,,,,,,,,,,
4c FHC,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4c_numi_fhc_nu_overlay,,,,"[0,0.35)",,,,,,,,,,,,,,
4c RHC,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4c_numi_rhc_nu_overlay,,,,"[0,0.35)",,,,,,,,,,,,,,
4d,prod_extunbiased_swizzle_crt_inclusive_v7d_goodruns_mcc9_run4d_numi_fhc_nu_overlay,,,,"[0,0.35)",,,,,,,,,,,,,,
5,prod_extunbiased_swizzle_crt_inclusive_v8_run5_numi_fhc_nu_overlay,14460,861067,,"[0,0.35)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Run,NuMI dirt overlay,,,,,,,,,,,,,,,,,,
4a validation,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4a_300k_validation_overlay,,,,none,,,,,,,,,,,,,,
4a,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4a_numi_rhc_dirt_overlay,730,32464,,"[0.765,0.82)",0.055,,,,,,,,,,,,,
4b,prod_extunbiased_swizzle_crt_inclusive_v7b_goodruns_mcc9_run4b_numi_rhc_dirt_overlay,,,,"[0.765,0.82)",,,,,,,,,,,,,,
4c FHC,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4c_numi_fhc_dirt_overlay,,,,"[0.765,0.82)",,,,,,,,,,,,,,
4c RHC,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4c_numi_rhc_dirt_overlay,,,,"[0.765,0.82)",,,,,,,,,,,,,,
4d,prod_extunbiased_swizzle_crt_inclusive_v7d_goodruns_mcc9_run4d_numi_fhc_dirt_overlay,,,,"[0.765,0.82)",,,,,,,,,,,,,,
5,prod_extunbiased_swizzle_crt_inclusive_v8_run5_numi_fhc_dirt_overlay,2253,134758,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Run,NuMI Intrinsic Nue overlay,,,,,,,,,,,,,,,,,,
4a,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4a_numi_rhc_intrnue_overlay,1370,,,"[0.55, 0.66)",,,,,,,,,,,,,,
4b,prod_extunbiased_swizzle_crt_inclusive_v7b_goodruns_mcc9_run4b_numi_rhc_intrnue_overlay,4910,,,"[0.55, 0.66)",,,,,,,,,,,,,,
4c RHC,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4c_numi_rhc_intrnue_overlay,819,,,"[0.55, 0.56)",,,,,,,,,,,,,,
4c FHC,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4c_numi_fhc_intrnue_overlay,7943,,,"[0.56, 0.66)",,,,,,,,,,,,,,
4d,prod_extunbiased_swizzle_crt_inclusive_v7d_goodruns_mcc9_run4d_numi_fhc_intrnue_overlay,16096,,,"[0.55, 0.66)",,,,,,,,,,,,,,
5,prod_extunbiased_swizzle_crt_inclusive_v8_run5_numi_fhc_intrnue_overlay,4662,278311,,"[0.55, 0.66)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Run,BNB Nu Detvars,,,,,,,,,,,,,,,,,,
4,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4_bnb_detvar_cv,70300,1042638,,"7d [0.35,0.55) + [0.66,0.765) + [0.82,1)",,,,,,,,,,,,,,
5,prod_extunbiased_swizzle_crt_inclusive_v8_goodruns_mcc9_run5_bnb_detvar_cv,9616,579397,,"[0.35, 0.55) + [0.95, 1)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Run,BNB Nue Detvars,,,,,,,,,,,,,,,,,,
4,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4_bnb_nue_detvar_cv,14650,217643,,"7d [0.55, 0.65)","overlaps with main intrinsic nue, run 4d",,,,,,,,,,,,,
5,prod_extunbiased_swizzle_crt_inclusive_v8_goodruns_mcc9_run5_bnb_nue_detvar_cv,3920,235883,,"[0.55, 0.65)",overlaps with main intrinsic nue,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,NuMI Nu Detvars,,,,,,,,,,,,,,,,,,
4 RHC,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4_numi_rhc_detvar_cv,16724,695331,,"7b [0.35, 0.55) + [0.82, 1)",,,,,,,,,,,,,,
4 FHC,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4_numi_fhc_detvar_cv,70300,1042638,,"7d [0.35,0.55) + [0.66,0.765) + [0.82,1)",,,,,,,,,,,,,,
5,prod_extunbiased_swizzle_crt_inclusive_v8_goodruns_mcc9_run5_numi_fhc_detvar_cv,9616,579397,,"[0.35, 0.55)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Run,NuMI Nue Detvars,,,,,,,,,,,,,,,,,,
4 RHC,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4_numi_rhc_nue_detvar_cv,2701,114104,,"7b [0.55, 0.61)","overlaps with main intrinsic nue, run 4b",,,,,,,,,,,,,
4 FHC,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4_numi_fhc_nue_detvar_cv,7357,109023,,"7d [0.55, 0.6)","overlaps with main intrinsic nue, run 4d",,,,,,,,,,,,,
5,prod_extunbiased_swizzle_crt_inclusive_v8_goodruns_mcc9_run5_numi_fhc_nue_detvar_cv,3920,235883,,"[0.55, 0.6)",overlaps with main intrinsic nue,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Run,ACPT,,,,,,,,,,,,,,,,,,
4a,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4a_acpt,4582,203172,,"[0,0.35)","overlaps with nu overlay, run 4a",,,,,,,,,,,,,
4b,prod_extunbiased_swizzle_crt_inclusive_v7b_goodruns_mcc9_run4b_acpt,10973,459800,,"[0,0.25)","overlaps with nu overlay, run 4b",,,,,,,,,,,,,
5,prod_extunbiased_swizzle_crt_inclusive_v8_goodruns_mcc9_run5_acpt,7752,465429,,"[0,0.2)","overlaps with nu overlay, run 5",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Run,NuWro Fake Data - BNB,,,,,,,,,,,,,,,,,,
4a,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4a_bnb_nuwro_overlay,2423,105120,,"[0.55,0.74)",0.19,overlaps with nue and dirt,,,,,,,,,,,,
4,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4c_bnb_nuwro_overlay,22039,306902,,"[0.55,0.83)",0.28,overlaps with nue and dirt,,,,,,,,,,,,
5,prod_extunbiased_swizzle_crt_inclusive_v8_goodruns_mcc9_run5_bnb_nuwro_overlay,5092,305613,,"[0.55,0.68)",0.13,overlaps with nue,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,NuWro Fake Data - NuMI,,,,,,,,,,,,,,,,,,
Run,,,,,,,,,,,,,,,,,,,
