,Complete EXTUNBIASED input data sets (good runs),,,,,,,NuMI FHC/RHC boundary defs,Runs,,,crt-remerging,4a,4b,4c,4d,5,,
Run,Defintion,Files,Events,EXT,Avg events per file,,,numi_run4_fhc_runs,"4c,4d",,,BNB reco1,not used,not used,,,,,no need
Nu,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_numi_rhc_nu,5702,247460,,"[0.397,0.514)",,,,,,,,,,,,,,
Int Nue,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_numi_rhc_nue,781,33664,,"[0.514,530)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,NuMI FHC Run 2,,,,,,,,,,,,,,,,,,
Nu,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_numi_fhc_nu,26794,772339,,"[0.0,0.25)",,,,,,,,,,,,,,
Int Nue,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_numi_fhc_nue,3449,98484,,"[0.75,0.782)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,NuMI RHC Run 2,,,,,,,,,,,,,,,,,,
Nu,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_numi_rhc_nu,53269,1536182,,"[0.25,0.75)",,,,,,,,,,,,,,
Int Nue,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_numi_rhc_nue,6965,201486,,"[0.782,0.847)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,NuMI RHC Run 3,,,,,,,,,,,,,,,,,,
Nu Pt 1,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_numi_nu_alternative_flux,15601,748442,,"[0.0,0.175)",,,,,,,,,,,,,,
Nu Pt 2,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_numi_nu_rhc,15815,756794,,"[0.175,0.35)",,,,,,,,,,,,,,
Int Nue Pt1,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_intrinsic_nue_alternative_flux,1709,82513,,"[0.4,0.42)",,,,,,,,,,,,,,
Int Nue Pt2,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_numi_nue_rhc,2757,132126,,"[0.42,0.45)",,,,,,,,,,,,,,
DL Vertexing Nu,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_numi_nu_rhc_DL_vertexing_retreat_Sept2024,4538,217051,,"[0.45,0.50)",,,,,,,,,,,,,,
DL Vertexing Nue,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_numi_intrinsic_nue_rhc_DL_vertexing_retreat_Sept2024,1072,52018,,"[0.50,0.512)",,,,,,,,,,,,,,
