run,subrun,event
19763,31,1574
19763,31,1575
19763,32,1608
19763,32,1641
19763,34,1719
19763,34,1732
19763,34,1750
19763,35,1767
19763,38,1903
19763,40,2034
19763,40,2045
19763,41,2073
19763,42,2107
19763,42,2140
19763,43,2196
19763,44,2247
19763,45,2296
19763,46,2349
19763,47,2359
19763,47,2368
19763,47,2391
19763,48,2449
19763,50,2520
19763,50,2525
19763,52,2608
19763,53,2660
19763,54,2720
19763,54,2729
19763,57,2860
19763,59,2953
19763,59,2961
19763,59,2996
19763,60,3014
19763,60,3038
19763,61,3092
19763,62,3107
19763,63,3169
19763,64,3217
19763,64,3224
19763,64,3225
19763,64,3228
19763,65,3284
19763,66,3314
19763,66,3335
19763,67,3378
19763,67,3382
19763,68,3404
19763,68,3432
19763,68,3446
19763,69,3467
19763,69,3476
19763,69,3489
19763,70,3503
19763,70,3520
19763,71,3568
19763,71,3569
19763,71,3572
19763,74,3734
19763,76,3809
19763,78,3925
19763,78,3927
19763,78,3932
19763,78,3936
19763,78,3941
19763,78,3942
19763,79,3986
19763,79,3996
19763,80,4015
19763,80,4020
19763,80,4045
19763,81,4061
19763,81,4072
19763,81,4099
19763,82,4129
19763,82,4132
19763,82,4142
19763,84,4208
19763,84,4224
19763,84,4229
19763,85,4263
19763,85,4278
19763,86,4318
19763,88,4405
19763,88,4428
19763,89,4487
19763,89,4489
19763,89,4492
19763,90,4509
19763,90,4518
19763,90,4546
19763,91,4587
19763,91,4593
19763,91,4597
19763,92,4636
19763,93,4676
19763,93,4685
19763,94,4743
19763,95,4770
19763,96,4815
19763,96,4816
19763,96,4817
19763,96,4818
19763,96,4837
19763,96,4839
19763,97,4894
19763,98,4944
19763,99,4988
19763,99,4996
19763,100,5020
19763,101,5083
19763,101,5090
19763,102,5102
19763,102,5122
19763,102,5138
19763,102,5150
19763,103,5154
19763,103,5155
19763,103,5191
19763,103,5194
19763,104,5208
19763,104,5211
19763,104,5217
19763,104,5237
19763,105,5291
19763,106,5322
19763,106,5325
19763,107,5377
19763,107,5395
19763,108,5421
19763,108,5439
19763,108,5450
19763,109,5470
19763,109,5478
19763,109,5479
19763,109,5486
19763,109,5488
19763,110,5517
19763,110,5532
19763,110,5534
19763,110,5535
19763,111,5555
19763,112,5606
19763,112,5634
19763,113,5678
19763,114,5701
19763,114,5742
19763,115,5771
19763,115,5774
19763,116,5822
19763,116,5834
19763,117,5861
19763,117,5883
19763,118,5919
19763,118,5934
19763,119,5955
19763,119,5995
19763,120,6033
19763,122,6140
19763,123,6157
19763,123,6189
19763,125,6258
19763,125,6286
19763,127,6357
19763,127,6381
19763,128,6435
19763,129,6473
19763,130,6541
19763,131,6558
19763,131,6565
19763,131,6570
19763,131,6600
19763,134,6732
19763,134,6740
19763,134,6750
19763,135,6763
19763,135,6766
19763,135,6796
19763,135,6799
19763,137,6894
19763,138,6921
19763,138,6931
19763,138,6936
19763,140,7010
19763,140,7036
19763,140,7037
19763,141,7078
19763,142,7129
19763,142,7131
19763,143,7152
19763,144,7203
19763,144,7223
19763,144,7237
19763,146,7334
19763,146,7343
19763,147,7367
19763,147,7391
19763,148,7402
19763,148,7403
19763,148,7408
19763,150,7504
19763,150,7520
19763,150,7543
19763,151,7552
19763,151,7563
19763,153,7658
19763,154,7720
19763,154,7726
19763,155,7791
19763,155,7795
19763,156,7810
19763,156,7826
19763,157,7884
19763,157,7891
19763,158,7913
19763,159,7979
19763,159,7984
19763,159,7987
19763,160,8003
19763,160,8021
19763,161,8058
19763,161,8079
19763,162,8119
19763,163,8168
19763,163,8192
19763,165,8269
19763,165,8295
19763,166,8302
19763,166,8319
19763,166,8346
19763,167,8359
19763,167,8390
19763,170,8524
19763,170,8527
19763,170,8539
19763,170,8543
19763,170,8547
19763,170,8549
19764,0,7
19764,0,12
19764,0,24
19764,1,61
19764,1,85
19764,2,117
19764,2,136
19764,3,188
19764,3,196
19764,4,211
19764,5,257
19764,5,293
19764,6,326
19764,6,348
19764,7,362
19764,7,368
19764,8,440
19764,10,528
19764,10,531
19764,11,551
19764,11,568
19764,11,574
19764,13,688
19764,13,700
19764,14,714
19764,14,739
19764,14,744
19764,15,773
19764,15,790
19764,16,845
19764,17,858
19764,19,993
19764,20,1013
19764,21,1059
19764,23,1184
19764,23,1196
19764,24,1223
19764,24,1226
19764,24,1245
19764,24,1250
19764,25,1254
19764,25,1256
19764,25,1285
19764,26,1304
19764,26,1322
19764,28,1421
19764,29,1454
19764,29,1469
19764,29,1485
19764,29,1487
19764,30,1502
19764,31,1553
19764,31,1555
19764,31,1591
19764,32,1603
19764,32,1640
19764,33,1676
19764,34,1712
19764,34,1717
19764,34,1730
19764,34,1737
19764,35,1770
19764,35,1788
19764,36,1802
19764,37,1884
19764,37,1899
19764,38,1912
19764,38,1930
19764,38,1934
19764,38,1940
19764,38,1947
19764,39,1980
19764,41,2056
19764,43,2160
19764,43,2175
19764,44,2220
19764,44,2242
19764,44,2244
19764,45,2256
19764,45,2294
19764,46,2305
19764,46,2312
19764,46,2319
19764,46,2333
19764,48,2403
19764,49,2493
19764,51,2555
19764,52,2621
19764,52,2649
19764,53,2655
19764,53,2668
19764,53,2683
19764,54,2727
19764,56,2819
19764,56,2841
19764,57,2863
19764,58,2906
19764,59,2958
19764,59,2966
19764,59,2986
19764,60,3026
19764,60,3030
19764,60,3033
19764,60,3039
19764,61,3052
19764,61,3055
19764,61,3062
19764,62,3121
19764,62,3133
19764,62,3141
19764,62,3149
19764,63,3197
19764,65,3279
19764,65,3300
19764,66,3337
19764,68,3427
19764,68,3442
19764,69,3455
19764,71,3585
19764,71,3597
19764,73,3671
19764,74,3703
19764,74,3749
19764,76,3832
19764,76,3844
19764,76,3849
19764,77,3852
19764,78,3901
19764,78,3902
19764,78,3935
19764,79,3965
19764,79,3989
19764,81,4091
19764,82,4116
19764,84,4203
19764,86,4314
19764,86,4342
19764,87,4396
19764,88,4402
19764,88,4439
19764,92,4607
19764,92,4622
19764,92,4635
19764,92,4650
19764,93,4657
19764,93,4680
19764,93,4692
19764,94,4721
19764,94,4726
19764,94,4729
19764,94,4734
19764,95,4794
19764,96,4820
19764,96,4847
19764,97,4864
19764,97,4875
19764,98,4906
19764,98,4927
19764,100,5034
19764,101,5073
19764,101,5097
19764,102,5104
19764,102,5105
19764,102,5118
19764,102,5136
19764,103,5169
19764,103,5184
19764,104,5219
19764,105,5279
19764,105,5280
19764,105,5284
19764,105,5289
19764,106,5302
19764,106,5316
19764,106,5328
19764,107,5351
19764,107,5367
19764,108,5432
19764,108,5433
19764,109,5476
19764,109,5479
19764,110,5542
19764,111,5560
19764,112,5630
19764,113,5658
19764,113,5697
19764,114,5707
19764,115,5770
19764,115,5788
19764,117,5859
19764,117,5886
19764,120,6001
19764,121,6053
19764,121,6062
19764,122,6106
19764,122,6126
19764,122,6146
19764,122,6150
19764,124,6218
19764,124,6240
19764,125,6260
19764,126,6320
19764,126,6335
19764,127,6357
19764,127,6367
19764,127,6385
19764,127,6394
19764,127,6400
19764,128,6436
19764,129,6473
19764,129,6490
19764,130,6542
19764,131,6579
19764,131,6591
19764,132,6603
19764,132,6646
19764,134,6723
19764,135,6760
19764,135,6790
19764,136,6822
19764,137,6860
19764,137,6867
19764,137,6883
19764,139,6998
19764,140,7007
19764,140,7018
19764,141,7060
19764,141,7071
19764,141,7076
19764,141,7095
19764,142,7126
19764,142,7148
19764,143,7162
19764,144,7203
19764,144,7208
19764,144,7242
19764,146,7304
19764,146,7325
19764,147,7364
19764,148,7404
19764,148,7446
19764,149,7498
19764,152,7645
19764,153,7657
19764,156,7832
19764,156,7839
19764,157,7873
19764,158,7916
19764,158,7935
19764,158,7936
19764,159,7970
19764,160,8020
19764,160,8050
19764,161,8079
19764,161,8087
19764,165,8252
19764,165,8254
19764,165,8256
19764,165,8285
19764,165,8293
19764,166,8315
19764,167,8379
19764,170,8510
19764,170,8515
19764,170,8517
19764,170,8520
19764,170,8535
19764,171,8581
19764,172,8608
19764,173,8653
19764,173,8670
19764,173,8687
19764,173,8690
19764,174,8718
19764,174,8722
19764,175,8769
19764,177,8879
19764,178,8918
19764,178,8922
19764,179,8969
19764,179,8998
19764,181,9087
19764,181,9093
19764,183,9157
19764,183,9191
19764,184,9220
19764,184,9224
19764,185,9270
19764,187,9351
19764,187,9361
19764,187,9378
19764,188,9437
19764,189,9463
19764,189,9472
19764,189,9496
19764,190,9503
19764,190,9530
19764,190,9534
19764,190,9538
19764,190,9539
19764,191,9599
19764,193,9663
19764,194,9704
19764,194,9748
19764,194,9750
19764,195,9752
19764,195,9770
19764,195,9781
19764,196,9812
19764,197,9881
19764,197,9891
19764,198,9934
19764,198,9945
19764,199,9951
19764,201,10073
19764,201,10085
19764,202,10140
19764,203,10177
19764,203,10188
19764,204,10214
19764,204,10236
19764,205,10286
19764,206,10304
19764,206,10339
19764,207,10361
19764,207,10370
19764,207,10386
19764,208,10438
19764,210,10505
19764,210,10509
19764,211,10567
19764,211,10569
19764,211,10587
19764,211,10598
19764,212,10607
19764,213,10690
19764,214,10732
19764,214,10749
19764,215,10772
19764,215,10776
19764,215,10786
19764,216,10805
19764,217,10873
19764,217,10882
19764,217,10884
19764,217,10885
19764,218,10913
19764,219,10974
19764,222,11117
19764,223,11160
19764,224,11209
19764,224,11232
19764,226,11308
19764,226,11309
19764,226,11311
19764,227,11363
19764,227,11364
19764,227,11365
19764,227,11383
19764,228,11403
19764,228,11410
19764,229,11476
19764,229,11482
19764,231,11579
19764,231,11586
19764,231,11588
19764,232,11602
19764,232,11611
19764,233,11664
19764,233,11681
19764,235,11782
19764,235,11788
19764,238,11910
19764,238,11912
19764,239,11967
19764,239,11993
19764,240,12014
19765,0,13
19765,1,63
19765,2,122
19765,2,128
19765,2,144
19765,2,145
19765,2,149
19765,3,166
19765,3,176
19765,4,203
19765,5,274
19765,6,313
19765,6,327
19765,8,408
19765,9,465
19765,9,488
19765,9,500
19765,10,511
19765,10,543
19765,10,548
19765,11,563
19765,11,567
19765,12,612
19765,13,657
19765,13,681
19765,14,725
19765,18,906
19765,19,973
19765,19,994
19765,20,1020
19765,21,1054
19765,22,1135
19765,22,1146
19765,23,1151
19765,23,1154
19765,23,1157
19765,24,1205
19765,24,1229
19765,25,1256
19765,25,1294
19765,26,1304
19765,26,1308
19765,26,1313
19765,26,1316
19765,26,1343
19765,27,1355
19765,27,1360
19765,28,1406
19765,28,1408
19765,28,1416
19765,29,1471
19765,29,1494
19765,30,1504
19765,30,1528
19765,30,1534
19765,31,1552
19765,31,1558
19765,32,1632
19765,33,1653
19765,33,1656
19765,33,1667
19765,33,1668
19765,33,1675
19765,33,1698
19765,34,1748
19765,35,1789
19765,36,1804
19765,36,1816
19765,36,1840
19765,37,1888
19765,39,1953
19765,39,1970
19765,39,1971
19765,39,1992
19765,40,2003
19765,40,2019
19765,40,2049
19765,41,2085
19765,42,2105
19765,43,2163
19765,43,2180
19765,43,2193
19765,45,2254
19765,45,2278
19765,45,2285
19765,46,2302
19765,46,2323
19765,46,2342
19765,47,2357
19765,48,2445
19765,49,2463
19765,49,2495
19765,50,2543
19765,51,2585
19765,51,2589
19765,52,2607
19765,52,2621
19765,53,2656
19765,53,2671
19765,54,2713
19765,55,2769
19765,58,2908
19765,59,2952
19765,59,2967
19765,59,2969
19765,59,2972
19765,59,2983
19765,59,2989
19765,60,3002
19765,62,3108
19765,62,3129
19765,62,3134
19765,64,3222
19765,64,3248
19765,65,3273
19765,67,3396
19765,68,3425
19765,69,3457
